height,wall_seconds,blocks_per_sec,coins_in_db,db_size_bytes,rss_mb,avg_ops_per_block,ops_per_sec
10000,0.09560394287109375,33209.92738009736,19992,0,307.51953125,6.3,209112.7
80000,0.856562614440918,31649.550625812266,159998,0,307.51953125,5.9,187813.0
90000,1.0594570636749268,17201.061996401884,179998,0,307.51953125,5.7,98564.9
110000,1.3781859874725342,21441.417736971947,219998,0,307.51953125,5.7,123262.0
130000,1.7343738079071045,19388.64723553509,259994,0,307.51953125,5.8,112933.9
140000,1.9909710884094238,13616.668084556797,279998,0,307.51953125,5.7,77952.0
170000,2.511367082595825,19663.87157917789,340000,41871041,307.51953125,5.9,115978.0
180000,2.8193037509918213,10865.870626674307,360000,43095172,307.51953125,6.0,64948.5
200000,3.268688917160034,15018.297238306546,399996,43095172,307.51953125,5.8,87852.0
240000,5.784972906112671,5273.252167980853,340730,75290007,307.51953125,26.9,141978.5
270000,7.723924875259399,5126.996520896141,381666,75290007,307.51953125,30.1,154409.3
300000,11.762164831161499,2489.9461423296775,558227,158152047,307.51953125,61.6,153384.8
400000,23.382437467575073,2977.46886691623,1115890,350844338,307.51953125,54.0,160929.8
430000,27.328455209732056,2702.217956620581,1294096,534609413,307.51953125,35.5,95902.5
490000,37.19020080566406,2173.955897710811,1619259,563011736,307.51953125,58.0,125993.8
570000,57.58691120147705,1405.226599966027,2337329,697033222,307.51953125,127.3,178820.9
610000,69.15117955207825,1239.3347824079954,3039128,877576785,307.51953125,112.6,139556.8
620000,73.8240339756012,778.1111223359605,3240076,852699018,307.51953125,114.6,89208.3
640000,81.6646454334259,918.168186081406,3678861,956888012,307.51953125,124.0,113810.9
650000,87.05057549476624,668.7795717688197,3889403,1196675042,307.51953125,133.9,89581.8
670000,96.08230137825012,791.7645079415964,4279100,1284662872,307.51953125,119.9,94922.6
680000,101.66018199920654,647.3785018691981,4516452,1203166135,307.51953125,129.5,83839.8
720000,121.44370889663696,725.3509485138288,5491973,1414380029,307.51953125,147.0,106595.0
730000,127.82852745056152,564.3073439863599,5753301,1468470061,307.51953125,155.7,87842.8
770000,152.07244038581848,595.6134242257768,6809929,1848856035,307.51953125,190.1,113212.8
820000,186.929625749588,516.2206819688579,7985405,2163918959,307.51953125,198.0,102237.3
840000,205.29704809188843,393.4139404721166,8394920,2478896487,307.51953125,216.7,85261.4
850000,213.71058750152588,425.1480650227485,8629420,2348060685,307.51953125,158.7,67458.2
860000,222.33621168136597,426.7517252378416,8845449,2317670571,307.51953125,160.5,68481.8
880000,236.02968788146973,527.9886490725573,9267699,2384117230,307.51953125,148.8,78543.4
890000,244.26044368743896,437.86987306636536,9513225,2438244651,307.51953125,154.6,67680.2
980000,299.6863193511963,583.9330387190129,11722651,3016012491,307.51953125,156.7,91503.4
990000,310.04318261146545,350.2025573625018,11970038,3403374071,307.51953125,167.3,58598.3
